"Subject","Operation","LogonUserDisplayName","LastAccessed","DestFolderPathName","FolderPathName","ClientInfoString","ClientIPAddress","ClientMachineName","ClientProcessName","ClientVersion","LogonType","MailboxResolvedOwnerName","OperationResult","CrossMailboxOp"
"Must-have gifts at can’t-miss prices 🎉","Create","Seth Cox","2/4/2023 11:12:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Successful professional development planning","Create","Seth Cox","2/4/2023 11:12:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Enjoy a FREE 🍪 when you sign up for Freaky Fast Rewards!","Create","Seth Cox","2/4/2023 11:12:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Successful professional development planning","Create","Seth Cox","2/4/2023 11:12:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Successful professional development planning","Create","Seth Cox","2/4/2023 11:12:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Enjoy a FREE 🍪 when you sign up for Freaky Fast Rewards!","Create","Seth Cox","2/4/2023 11:12:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Enjoy a FREE 🍪 when you sign up for Freaky Fast Rewards!","Create","Seth Cox","2/4/2023 11:12:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Enjoy a FREE 🍪 when you sign up for Freaky Fast Rewards!","Create","Seth Cox","2/4/2023 11:12:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Shhh...Reveal Secret Offer 👀 + More Coupons To Save","Create","Seth Cox","2/4/2023 11:12:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Shhh...Reveal Secret Offer 👀 + More Coupons To Save","Create","Seth Cox","2/4/2023 11:12:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Shhh...Reveal Secret Offer 👀 + More Coupons To Save","Create","Seth Cox","2/4/2023 11:12:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Shhh...Reveal Secret Offer 👀 + More Coupons To Save","Create","Seth Cox","2/4/2023 11:12:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Gifts starting at $10? That’s a wrap. 🎁","Create","Seth Cox","2/4/2023 11:12:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Gifts starting at $10? That’s a wrap. 🎁","Create","Seth Cox","2/4/2023 11:12:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
"Gifts starting at $10? That’s a wrap. 🎁","Create","Seth Cox","2/4/2023 11:12:11 AM",,"\Inbox","Client=MSExchangeRPC","75.144.79.221",,"OUTLOOK.EXE","16.0.16026.20006","Delegate","Warren Woods Christian School Office","Succeeded","N/A"
